Alpha,Beta,SumResidualSquare,Method
0.24000000000000002,4.9999999999999995E-11,19136.11320963896,4thOrderRungeKutta
0.32,6.0E-11,7398.172479171789,4thOrderRungeKutta
0.28,4.9999999999999995E-11,11816.15122129668,4thOrderRungeKutta
0.34900000000000003,4.9999999999999995E-11,5498.8007966606165,4thOrderRungeKutta
0.31,4.9999999999999995E-11,8374.28827486667,4thOrderRungeKutta
0.359,4.9999999999999995E-11,4967.694782356802,4thOrderRungeKutta
0.35000000000000003,4.9999999999999995E-11,5442.50821734598,4thOrderRungeKutta
0.36,4.9999999999999995E-11,4918.318960806383,4thOrderRungeKutta
0.269,6.0E-11,13266.836840404187,4thOrderRungeKutta
0.249,6.0E-11,16879.243571812134,4thOrderRungeKutta
0.25,6.0E-11,16674.689514753416,4thOrderRungeKutta
0.329,6.0E-11,6708.036758501581,4thOrderRungeKutta
0.27,6.0E-11,13110.24047205535,4thOrderRungeKutta
0.259,7.0E-11,14738.06591673732,4thOrderRungeKutta
0.23900000000000002,6.0E-11,19085.103119075855,4thOrderRungeKutta
0.33,6.0E-11,6636.187406588874,4thOrderRungeKutta
0.23700000000000002,4.0E-11,20165.038050319406,4thOrderRungeKutta
0.26,7.0E-11,14562.18208915995,4thOrderRungeKutta
0.24000000000000002,6.0E-11,18850.730464170967,4thOrderRungeKutta
0.339,6.0E-11,6029.688210621672,4thOrderRungeKutta
0.219,7.0E-11,24143.15444736789,4thOrderRungeKutta
0.23800000000000002,4.0E-11,19915.53393409949,4thOrderRungeKutta
0.299,6.0E-11,9357.235695842504,4thOrderRungeKutta
0.34,6.0E-11,5966.559611219598,4thOrderRungeKutta
0.20900000000000002,7.0E-11,27432.46609338372,4thOrderRungeKutta
0.22,7.0E-11,23839.16302154344,4thOrderRungeKutta
0.3,6.0E-11,9251.405517843938,4thOrderRungeKutta
0.28900000000000003,6.0E-11,10494.550609211827,4thOrderRungeKutta
0.21000000000000002,7.0E-11,27082.015309185746,4thOrderRungeKutta
0.319,7.0E-11,7384.569627878535,4thOrderRungeKutta
0.279,6.0E-11,11789.972766710125,4thOrderRungeKutta
0.309,6.0E-11,8358.068118028857,4thOrderRungeKutta
0.29000000000000004,6.0E-11,10374.05811383887,4thOrderRungeKutta
0.32,7.0E-11,7304.083094773303,4thOrderRungeKutta
0.28,6.0E-11,11652.679944455998,4thOrderRungeKutta
0.31,6.0E-11,8265.06799617849,4thOrderRungeKutta
0.34900000000000003,6.0E-11,5433.84068125549,4thOrderRungeKutta
0.359,6.0E-11,4910.912421316438,4thOrderRungeKutta
0.35000000000000003,6.0E-11,5378.413235684506,4thOrderRungeKutta
0.36,6.0E-11,4862.299170975455,4thOrderRungeKutta
0.329,7.0E-11,6624.554432718166,4thOrderRungeKutta
0.249,7.0E-11,16632.589108778204,4thOrderRungeKutta
